"ID_ESTADO","NOMBRE_ESTADO","ID_MUNICIPIO","MUNICIPIO","MEADE","ANAYA","AMLO","MARGARITA","BRONCO","NUM_VOTOS_CAN_NREG","NUM_VOTOS_NULOS","GANADOR"
20,"OAXACA",536,"VILLA SOLA DE VEGA-OAX",763,1359,4111,0,66,15,312,"AMLO"
30,"VERACRUZ",22,"ATOYAC-VER",1450,1994,6608,3,322,0,249,"AMLO"
12,"GUERRERO",14,"BENITO JUAREZ-GRO",2146,1022,5246,1,95,1,360,"AMLO"
20,"OAXACA",87,"SAN ANDRES HUAXPALTEPEC-OAX",690,147,1914,0,19,0,116,"AMLO"
24,"SAN LUIS POTOSÍ",50,"VILLA DE RAMOS-SLP",7316,6320,4517,9,419,1,975,"MEADE"
20,"OAXACA",429,"SANTA MARIA QUIEGOLANI-OAX",198,46,553,4,4,0,54,"AMLO"
17,"MORELOS",28,"XOCHITEPEC-MOR",5570,3665,19711,85,1950,13,873,"AMLO"
30,"VERACRUZ",41,"COATZACOALCOS-VER",12889,22180,117840,26,5318,42,2736,"AMLO"
29,"TLAXCALA",3,"APIZACO-TLX",5386,6324,28444,19,2936,19,790,"AMLO"
31,"YUCATÁN",43,"KAUA-YUC",813,354,801,0,9,0,26,"MEADE"
20,"OAXACA",298,"SAN PEDRO AMUZGOS-OAX",1033,1006,1288,0,11,0,67,"AMLO"
14,"JALISCO",89,"TECOLOTLAN-JAL",2010,3177,3745,3,437,0,291,"AMLO"
7,"CHIAPAS",113,"BENEMERITO DE LAS AMERICAS-CAM",2524,690,5179,13,107,3,618,"AMLO"
9,"CIUDAD DE MÉXICO",17,"VENUSTIANO CARRANZA-COL",37082,69128,158062,95,13100,210,5916,"AMLO"
5,"COAHUILA",7,"CUATROCIENEGAS-COL",1967,2041,1977,4,181,0,139,"ANAYA"
17,"MORELOS",22,"TETELA DEL VOLCAN-MOR",1081,1485,7562,3,644,1,335,"AMLO"
12,"GUERRERO",71,"XOCHIHUEHUETLAN-GRO",740,502,2613,0,26,2,135,"AMLO"
