ano,estado,municipio,cve_inegi,id_estado,id_municipio,pea,pea_h,pea_m,pei,pei_h,pei_m,pea_ocupada,pea_ocupada_h,pea_ocupada_m,pea_desocupada,pea_desocupada_h,pea_desocupada_m,tpe,tpe_h,tpe_m
2010,Chiapas,Tonala,7097,7,97,31296,23149,8147,32501,8087,24414,30378,22420,7958,918,729,189,48.75,73.56,24.89
2010,Chiapas,Totolapa,7098,7,98,1967,1849,118,2632,421,2211,1960,1842,118,7,7,0,42.53,80.81,5.05
2010,Chiapas,La Trinitaria,7099,7,99,24256,21962,2294,29907,4236,25671,24106,21832,2274,150,130,20,44.59,83.36,8.18
2010,Chiapas,Tumbala,7100,7,100,8186,7630,556,13123,2665,10458,8071,7523,548,115,107,8,38.14,73.46,5.02
2010,Chiapas,Tuxtla Gutierrez,7101,7,101,244282,148697,95585,183084,51068,132016,237081,143558,93523,7201,5139,2062,56.96,74.12,41.88
2010,Chiapas,Tuxtla Chico,7102,7,102,13626,10109,3517,14605,3484,11121,13209,9798,3411,417,311,106,48,73.89,23.92
2010,Chiapas,Tuzantan,7103,7,103,9597,7557,2040,10944,2437,8507,9458,7455,2003,139,102,37,46.51,75.11,19.3
2010,Chiapas,Tzimol,7104,7,104,5188,4244,944,5350,882,4468,5107,4164,943,81,80,1,49,82.34,17.37
2010,Chiapas,Union Juarez,7105,7,105,4256,3569,687,6275,1461,4814,4103,3437,666,153,132,21,40.21,70.45,12.45
2010,Chiapas,Venustiano Carranza,7106,7,106,23005,18058,4947,21463,4118,17345,22097,17195,4902,908,863,45,51.5,81.02,22.1
2010,Chiapas,Villa Corzo,7107,7,107,25290,21155,4135,30099,5897,24202,24754,20683,4071,536,472,64,45.4,77.64,14.53
2010,Chiapas,Villaflores,7108,7,108,37178,28623,8555,36930,7551,29379,36389,28019,8370,789,604,185,49.89,78.64,22.44
2010,Chiapas,Yajalon,7109,7,109,10534,8573,1961,12912,2691,10221,10352,8416,1936,182,157,25,44.67,75.6,16.02
2010,Chiapas,San Lucas,7110,7,110,2132,1891,241,2570,491,2079,2085,1846,239,47,45,2,45.21,79.02,10.37
2010,Chiapas,Zinacantan,7111,7,111,10101,8818,1283,13435,1962,11473,9846,8567,1279,255,251,4,42.75,81.38,10.03
2010,Chiapas,San Juan Cancuc,7112,7,112,6955,6079,876,10452,2353,8099,6896,6023,873,59,56,3,39.79,71.76,9.72
2010,Chiapas,Aldama,7113,7,113,1071,966,105,1794,401,1393,1070,966,104,1,0,1,37.25,70.51,6.98
2010,Chiapas,Benemerito de las Americas,7114,7,114,5037,4454,583,6490,1310,5180,4950,4393,557,87,61,26,43.43,76.74,10.06
2010,Chiapas,Maravilla Tenejapa,7115,7,115,3222,3067,155,4286,761,3525,3173,3021,152,49,46,3,42.64,79.52,4.19
2010,Chiapas,Marques de Comillas,7116,7,116,2768,2538,230,3741,724,3017,2734,2509,225,34,29,5,42.33,77.4,7.06
2010,Chiapas,Montecristo de Guerrero,7117,7,117,1996,1856,140,2771,542,2229,1975,1838,137,21,18,3,41.69,77.01,5.89
2010,Chiapas,San Andres Duraznal,7118,7,118,1160,1083,77,1703,277,1426,1136,1059,77,24,24,0,40.19,78.94,5.09
2010,Chiapas,Santiago el Pinar,7119,7,119,679,644,35,1298,317,981,675,641,34,4,3,1,34.15,66.6,3.43
2010,Chihuahua,Total del estado Chihuahua,8000,8,0,1360111,907487,452624,1132460,320375,812085,1287340,851031,436309,72771,56456,16315,54.15,73.28,35.55
2010,Chihuahua,Ahumada,8001,8,1,4487,3310,1177,3916,942,2974,4316,3168,1148,171,142,29,53.2,77.48,28.28
2010,Chihuahua,Aldama,8002,8,2,8653,6081,2572,8110,2196,5914,8159,5681,2478,494,400,94,51.35,72.98,30.19
2010,Chihuahua,Allende,8003,8,3,3264,2454,810,3496,933,2563,3112,2320,792,152,134,18,47.84,71.4,23.92
2010,Chihuahua,Aquiles Serdan,8004,8,4,5283,4137,1146,2677,734,1943,5061,3958,1103,222,179,43,66.11,84.76,36.85
2010,Chihuahua,Ascension,8005,8,5,8797,6674,2123,7129,1547,5582,8278,6246,2032,519,428,91,54.56,80.2,27.21
2010,Chihuahua,Bachiniva,8006,8,6,2175,1807,368,2612,619,1993,1987,1637,350,188,170,18,45.09,73.63,15.53
2010,Chihuahua,Balleza,8007,8,7,5459,4606,853,6870,1653,5217,4957,4140,817,502,466,36,43.91,72.85,13.96
2010,Chihuahua,Batopilas de Manuel Gomez Morin,8008,8,8,4552,4016,536,5113,894,4219,4502,3970,532,50,46,4,46.57,80.84,11.15
2010,Chihuahua,Bocoyna,8009,8,9,10446,7679,2767,10705,2590,8115,10129,7400,2729,317,279,38,49.1,74.29,25.3
2010,Chihuahua,Buenaventura,8010,8,10,8572,6322,2250,7674,1798,5876,8313,6118,2195,259,204,55,52.36,77.08,27.54
2010,Chihuahua,Camargo,8011,8,11,19292,13421,5871,18173,4935,13238,18198,12600,5598,1094,821,273,51.29,72.74,30.64
2010,Chihuahua,Carichi,8012,8,12,3008,2612,396,3359,560,2799,2865,2487,378,143,125,18,46.92,81.6,12.34
2010,Chihuahua,Casas Grandes,8013,8,13,3927,3052,875,4094,1069,3025,3736,2900,836,191,152,39,48.58,73.6,22.23
2010,Chihuahua,Coronado,8014,8,14,920,732,188,916,212,704,885,697,188,35,35,0,49.7,76.57,21.01
2010,Chihuahua,Coyame del Sotol,8015,8,15,685,570,115,638,175,463,651,536,115,34,34,0,51.35,75.9,19.73
2010,Chihuahua,La Cruz,8016,8,16,1374,1069,305,1658,475,1183,1268,974,294,106,95,11,44.96,68.31,20.46
2010,Chihuahua,Cuauhtemoc,8017,8,17,61586,42216,19370,51597,12697,38900,59569,40693,18876,2017,1523,494,54.1,76.27,33.12
